# G0W0 diagonal energies (eV)
# columns: band  E_DFT  Re[H0+Sigma_xc(E_DFT)]  Im[H0+Sigma_xc(E_DFT)]

k-point 0:
--------------------------------------------------------------------------------
n=53   E_DFT=    9.711158  Re= -468.278638  Im=62560981.444641
n=54   E_DFT=   10.065489  Re= -698.032809  Im=299744015.250900
n=55   E_DFT=   10.065490  Re= -845.243459  Im=301081978.667611
n=56   E_DFT=   10.144662  Re= -801.819595  Im=95275022.940459
n=57   E_DFT=   10.144666  Re= -784.917341  Im=117441245.826070
n=58   E_DFT=   12.357078  Re= 1044.835916  Im=174787521.744449
n=59   E_DFT=   12.357079  Re= 1054.584387  Im=188306167.586911
n=60   E_DFT=   13.541712  Re=  -19.452982  Im=-19354985.439866
n=61   E_DFT=   13.541718  Re=   -0.356896  Im=-18427625.028974
n=62   E_DFT=   13.877037  Re= -255.870881  Im=57080402.530844
n=63   E_DFT=   13.877044  Re= -263.744071  Im=69286299.966044
n=64   E_DFT=   14.840706  Re=   45.106307  Im=-2737395.075300
n=65   E_DFT=   14.840711  Re=   54.166542  Im=10367890.160489
n=66   E_DFT=   15.590612  Re=    3.077987  Im=-90428254.837503
n=67   E_DFT=   15.590612  Re=  -26.691384  Im=-101162331.627822
n=68   E_DFT=   16.288943  Re=  556.020871  Im=324130294.060531
n=69   E_DFT=   16.288944  Re=  548.527364  Im=339070887.678539
n=70   E_DFT=   17.050848  Re=   95.738363  Im=74785539.515389
n=71   E_DFT=   17.050851  Re=  124.872686  Im=87363755.882492
n=72   E_DFT=   17.207911  Re=   15.204354  Im=86828085.925400
n=73   E_DFT=   17.207917  Re=   -0.725626  Im=99178211.739386
n=74   E_DFT=   17.657365  Re=   26.349408  Im=42809603.874875
n=75   E_DFT=   17.657366  Re=   25.689753  Im=43949399.505763
n=76   E_DFT=   19.467494  Re= -282.481656  Im=-242711676.854400
n=77   E_DFT=   19.467498  Re= -334.114772  Im=-247614410.028295
n=78   E_DFT=   19.553004  Re= -234.533968  Im=147812249.655526
n=79   E_DFT=   19.553008  Re= -196.581467  Im=166088785.396066

k-point 4:
--------------------------------------------------------------------------------
n=0    E_DFT=  -65.289569  Re=-2009.723433  Im=-44112790.172706
n=1    E_DFT=  -65.289564  Re=-1270.578166  Im=-47875327.388409
n=2    E_DFT=  -42.122271  Re= 2135.201536  Im=-346907172.730988
n=3    E_DFT=  -42.100087  Re=  139.976843  Im=-37584895.295388
n=4    E_DFT=  -39.582326  Re= 2201.368469  Im=-438324978.663031
n=5    E_DFT=  -39.538473  Re=  964.994553  Im=-19917336.914842
n=6    E_DFT=  -39.534616  Re=  704.094112  Im=-76365576.537845
n=7    E_DFT=  -39.522611  Re=  250.395466  Im=120998991.588571
n=8    E_DFT=  -17.273740  Re=  -18.065162  Im=290774621.447313
n=9    E_DFT=  -17.230890  Re= 1086.697097  Im=369036826.059425
n=10   E_DFT=  -17.227424  Re= 1034.910783  Im=371021368.172023
n=11   E_DFT=  -17.210736  Re=   17.949579  Im=306318037.267855
n=12   E_DFT=  -10.760613  Re=    6.207409  Im=-404108103.860394
n=13   E_DFT=  -10.751500  Re=   -0.881261  Im=-405588926.985635
n=14   E_DFT=   -9.925202  Re=  736.222855  Im=325350544.337112
n=15   E_DFT=   -9.889708  Re=  711.757397  Im=327588543.529166
n=16   E_DFT=   -9.441826  Re=  316.769711  Im=-355169607.880219
n=17   E_DFT=   -9.382442  Re=  312.104975  Im=-334791354.800006
n=18   E_DFT=   -8.865054  Re=   -9.977156  Im=-109642374.018092
n=19   E_DFT=   -8.840028  Re=  -36.462144  Im=-115890636.380931
n=20   E_DFT=   -8.314152  Re=  189.584796  Im=-129168851.509542
n=21   E_DFT=   -8.264583  Re=  198.870903  Im=-129730543.467365
n=22   E_DFT=   -7.588034  Re=    3.106487  Im=-209742123.909896
n=23   E_DFT=   -7.566470  Re=   -6.720984  Im=-227274118.050689
n=24   E_DFT=   -5.326291  Re=  535.908432  Im=1744235165.155612
n=25   E_DFT=   -5.193711  Re=  522.655870  Im=1651794701.235582
n=26   E_DFT=   -3.493646  Re=  120.717576  Im=-1009856853.923566
n=27   E_DFT=   -3.490060  Re=  115.339607  Im=-1035502369.223075
n=28   E_DFT=   -2.349182  Re=    7.026328  Im=-366853711.992048
n=29   E_DFT=   -2.318929  Re=  -15.501485  Im=-403444240.488595
n=30   E_DFT=   -1.737652  Re= -828.059512  Im=-2584069350.243453
n=31   E_DFT=   -1.607544  Re= -788.725962  Im=-2676963473.010683
n=32   E_DFT=   -0.396955  Re= -752.264041  Im=-504002213.087195
n=33   E_DFT=   -0.320264  Re= -750.030411  Im=-547902401.499464
n=34   E_DFT=    2.059643  Re=  338.254698  Im=669963395.814744
n=35   E_DFT=    2.197597  Re=  344.125555  Im=609919190.249823
n=36   E_DFT=    2.544391  Re=  606.061855  Im=184801510.048394
n=37   E_DFT=    2.547557  Re=  620.822085  Im=198314074.446087
n=38   E_DFT=    4.779923  Re= -110.847070  Im=108818345.579608
n=39   E_DFT=    4.789974  Re= -105.044663  Im=112183289.917635
n=40   E_DFT=    5.792397  Re=  463.455409  Im=-28342853.172003
n=41   E_DFT=    5.847410  Re=  496.779396  Im=-16900624.173415
n=42   E_DFT=    6.356829  Re= -197.449150  Im=-139708638.463024
n=43   E_DFT=    6.375872  Re= -204.972860  Im=-146968237.041847
n=44   E_DFT=    7.147329  Re= -455.931499  Im=109970725.663192
n=45   E_DFT=    7.164498  Re= -446.385086  Im=79779666.935607
n=46   E_DFT=    7.271694  Re=  433.738860  Im=390210317.783547
n=47   E_DFT=    7.332035  Re=  389.347168  Im=389240887.171680
n=48   E_DFT=    7.688820  Re=  879.040459  Im=99045981.734046
