# Sigma frequency debug decomposition (all energies in eV)
# k              		n              		Edft-Ef        		E_dft          		kin_ion        		sex_0          		coh_0          		x_bare         		sig_c(0)       		sig_c+(w)      		sig_c-(w)      		sig_c_invld(0) 		sig_c(Edft)    

k-point 0:
k              		n              		Edft-Ef        		E_dft          		kin_ion        		sex_0          		coh_0          		x_bare         		sig_c(0)       		sig_c+(w)      		sig_c-(w)      		sig_c_invld(0) 		sig_c(Edft)    
              2		             17		         10.212		         16.847		         28.580		         -1.892		         -6.530		         -3.168		         -3.228		            nan		            nan		          0.000		            nan
              2		             18		         10.212		         16.847		         28.580		         -1.892		         -6.536		         -3.168		         -3.230		            nan		            nan		          0.000		            nan
              2		             19		         10.212		         16.847		         28.580		         -1.892		         -6.537		         -3.168		         -3.231		            nan		            nan		          0.000		            nan
              2		             20		         10.966		         17.601		         27.169		         -1.819		         -6.567		         -3.232		         -3.107		            nan		            nan		          0.000		            nan
              2		             21		         10.966		         17.601		         27.169		         -1.819		         -6.566		         -3.233		         -3.107		            nan		            nan		          0.001		            nan
              2		             22		         10.994		         17.629		         27.280		         -1.795		         -6.551		         -3.154		         -3.136		            nan		            nan		          0.000		            nan
              2		             23		         10.994		         17.629		         27.280		         -1.795		         -6.553		         -3.154		         -3.136		            nan		            nan		          0.000		            nan
              2		             24		         11.018		         17.654		         26.511		         -1.955		         -6.678		         -3.685		         -2.945		            nan		            nan		          0.001		            nan
              2		             25		         11.018		         17.654		         26.511		         -1.955		         -6.678		         -3.685		         -2.945		            nan		            nan		          0.001		            nan
              2		             26		         12.647		         19.282		         29.297		         -1.805		         -6.482		         -3.088		         -3.052		            nan		            nan		          0.000		            nan
              2		             27		         12.647		         19.282		         29.297		         -1.805		         -6.482		         -3.088		         -3.052		            nan		            nan		          0.000		            nan
              2		             28		         19.044		         25.679		         38.949		         -1.606		         -5.807		         -2.470		         -2.683		            nan		            nan		          0.001		            nan
              2		             29		         19.044		         25.679		         38.949		         -1.606		         -5.807		         -2.470		         -2.683		            nan		            nan		          0.001		            nan
              2		             30		         19.648		         26.283		         33.600		         -1.678		         -5.888		         -2.541		         -2.777		            nan		            nan		          0.000		            nan
              2		             31		         19.648		         26.283		         33.600		         -1.678		         -5.888		         -2.541		         -2.777		            nan		            nan		          0.000		            nan
              2		             32		         21.298		         27.933		         36.942		         -1.523		         -5.508		         -2.354		         -2.472		            nan		            nan		         -0.000		            nan
              2		             33		         21.298		         27.933		         36.942		         -1.523		         -5.510		         -2.354		         -2.473		            nan		            nan		         -0.000		            nan
              2		             34		         21.299		         27.934		         36.931		         -1.523		         -5.510		         -2.355		         -2.472		            nan		            nan		         -0.000		            nan
              2		             35		         21.299		         27.934		         36.931		         -1.523		         -5.510		         -2.355		         -2.473		            nan		            nan		         -0.000		            nan
              2		             36		         21.452		         28.087		         43.115		         -1.415		         -5.364		         -1.897		         -2.644		            nan		            nan		          0.000		            nan
              2		             37		         21.452		         28.087		         43.115		         -1.415		         -5.364		         -1.897		         -2.644		            nan		            nan		          0.000		            nan
              2		             38		         21.459		         28.095		         43.132		         -1.415		         -5.363		         -1.897		         -2.643		            nan		            nan		          0.000		            nan
              2		             39		         21.459		         28.095		         43.132		         -1.415		         -5.362		         -1.897		         -2.643		            nan		            nan		          0.000		            nan
              2		             40		         25.372		         32.007		         39.674		         -1.374		         -5.323		         -1.883		         -2.519		            nan		            nan		         -0.000		            nan
              2		             41		         25.372		         32.007		         39.674		         -1.374		         -5.323		         -1.883		         -2.519		            nan		            nan		         -0.000		            nan
              2		             42		         26.085		         32.720		         43.500		         -1.438		         -4.749		         -1.888		         -2.167		            nan		            nan		          0.001		            nan
              2		             43		         26.085		         32.720		         43.500		         -1.438		         -4.748		         -1.888		         -2.166		            nan		            nan		          0.001		            nan
              2		             44		         26.085		         32.721		         43.511		         -1.438		         -4.753		         -1.887		         -2.169		            nan		            nan		          0.001		            nan
              2		             45		         26.085		         32.721		         43.511		         -1.438		         -4.755		         -1.887		         -2.170		            nan		            nan		          0.001		            nan
              2		             46		         27.115		         33.751		         50.537		         -1.442		         -4.898		         -1.959		         -2.141		            nan		            nan		          0.001		            nan
              2		             47		         27.115		         33.751		         50.537		         -1.442		         -4.897		         -1.959		         -2.140		            nan		            nan		          0.001		            nan
              2		             48		         27.155		         33.790		         50.604		         -1.441		         -4.900		         -1.957		         -2.141		            nan		            nan		          0.001		            nan
              2		             49		         27.155		         33.790		         50.604		         -1.441		         -4.897		         -1.957		         -2.140		            nan		            nan		          0.001		            nan
              2		             50		         27.994		         34.629		         34.645		         -1.354		         -5.114		         -1.837		         -2.436		            nan		            nan		          0.000		            nan
              2		             51		         27.994		         34.629		         34.645		         -1.354		         -5.114		         -1.837		         -2.436		            nan		            nan		          0.000		            nan
              2		             52		         30.816		         37.451		         45.516		         -1.472		         -4.837		         -2.023		         -2.058		            nan		            nan		         -0.001		            nan
              2		             53		         30.816		         37.451		         45.516		         -1.472		         -4.836		         -2.023		         -2.058		            nan		            nan		         -0.001		            nan
              2		             54		         31.994		         38.629		         48.367		         -1.196		         -4.291		         -1.516		         -1.896		            nan		            nan		          0.000		            nan
              2		             55		         31.994		         38.629		         48.367		         -1.196		         -4.290		         -1.516		         -1.896		            nan		            nan		          0.000		            nan
              2		             56		         32.013		         38.648		         48.363		         -1.196		         -4.271		         -1.516		         -1.887		            nan		            nan		          0.000		            nan
              2		             57		         32.013		         38.648		         48.363		         -1.196		         -4.270		         -1.515		         -1.887		            nan		            nan		          0.000		            nan
              2		             58		         32.547		         39.182		         49.736		         -1.220		         -4.094		         -1.542		         -1.783		            nan		            nan		         -0.000		            nan
              2		             59		         32.547		         39.182		         49.736		         -1.219		         -4.094		         -1.543		         -1.783		            nan		            nan		          0.000		            nan

k-point 3:
k              		n              		Edft-Ef        		E_dft          		kin_ion        		sex_0          		coh_0          		x_bare         		sig_c(0)       		sig_c+(w)      		sig_c-(w)      		sig_c_invld(0) 		sig_c(Edft)    
              3		              0		        -11.533		         -4.897		          3.492		         -3.518		         -8.199		        -14.285		          1.980		            nan		            nan		          0.001		            nan
              3		              1		        -11.533		         -4.897		          3.492		         -3.518		         -8.199		        -14.285		          1.980		            nan		            nan		          0.001		            nan
              3		              2		         -4.295		          2.340		         11.653		         -2.725		         -7.624		        -10.109		          0.331		          3.596		         -2.363		          0.000		          1.234
              3		              3		         -4.295		          2.340		         11.653		         -2.725		         -7.624		        -10.109		          0.331		          3.596		         -2.363		          0.000		          1.234
              3		              4		         -1.137		          5.499		         16.493		         -2.848		         -7.570		         -9.646		          0.249		          3.133		         -2.646		          0.001		          0.488
              3		              5		         -1.137		          5.499		         16.493		         -2.848		         -7.570		         -9.646		          0.249		          3.133		         -2.646		          0.001		          0.488
              3		              6		         -1.105		          5.530		         16.479		         -2.848		         -7.571		         -9.647		          0.251		          3.131		         -2.649		          0.001		          0.483
              3		              7		         -1.105		          5.530		         16.479		         -2.848		         -7.569		         -9.646		          0.251		          3.130		         -2.648		          0.001		          0.483
              3		              8		          1.659		          8.295		         16.742		         -2.162		         -7.429		         -5.256		         -3.133		          1.178		         -4.663		          0.000		         -3.484
              3		              9		          1.659		          8.295		         16.742		         -2.162		         -7.429		         -5.256		         -3.133		          1.178		         -4.663		          0.000		         -3.484
              3		             10		          3.122		          9.757		         18.755		         -2.109		         -7.295		         -4.690		         -3.285		          0.946		         -4.871		          0.000		         -3.925
              3		             11		          3.122		          9.757		         18.755		         -2.109		         -7.293		         -4.688		         -3.285		          0.946		         -4.871		          0.000		         -3.924
