# Generated by LORRAX unknown at 2026-07-20 22:59:40 UTC
# G0W0 diagonal energies (eV)
# columns: band  E_DFT  Re[H0+Sigma_xc(E_DFT)]  Im[H0+Sigma_xc(E_DFT)]

k-point 0:
--------------------------------------------------------------------------------
n=15   E_DFT=  -10.190433  Re=  -13.618731  Im= 2873.585488
n=16   E_DFT=   -9.410898  Re=  -10.074142  Im=  125.904405
n=17   E_DFT=   -9.410898  Re=  -10.127221  Im= 6528.463841
n=18   E_DFT=   -8.452993  Re=   -2.524943  Im=57075.978557
n=19   E_DFT=   -8.452993  Re=   -2.504106  Im=-46756.701126
n=20   E_DFT=   -7.297424  Re=  -11.819709  Im=-25400.462466
n=21   E_DFT=   -7.297424  Re=  -11.820895  Im=32997.469385
n=22   E_DFT=   -6.243181  Re=   -6.432372  Im=-230218.731884
n=23   E_DFT=   -6.243181  Re=   -6.545786  Im=216349.616113
n=24   E_DFT=   -5.976810  Re=   -8.954944  Im=-81541.063411
n=25   E_DFT=   -5.976810  Re=   -8.933280  Im=92060.858028
n=26   E_DFT=   -3.055309  Re=   -1.532879  Im=525066.630048
n=27   E_DFT=   -3.055309  Re=   -1.225402  Im=-510396.030937
n=28   E_DFT=   -2.541875  Re=  -11.872795  Im=1329058.706884
n=29   E_DFT=   -2.541875  Re=  -11.801952  Im=-1358003.899090
n=30   E_DFT=   -1.458358  Re=    5.771853  Im=825160.017393
n=31   E_DFT=   -1.458358  Re=    5.336550  Im=-835906.587864
n=32   E_DFT=   -1.066726  Re=   19.728897  Im=655276.591579
n=33   E_DFT=   -1.066726  Re=   19.285546  Im=-633340.850339
n=34   E_DFT=    1.125877  Re=   14.469147  Im= 1154.100369
n=35   E_DFT=    1.125877  Re=   14.210671  Im= 2800.952887
n=36   E_DFT=    2.577522  Re=   13.142675  Im=18840.534958
n=37   E_DFT=    2.577522  Re=   12.740980  Im=-15805.449693
n=38   E_DFT=    3.216076  Re=   -7.116737  Im=79373.984968
n=39   E_DFT=    3.216076  Re=   -7.248911  Im=-79110.305543
n=40   E_DFT=    4.435330  Re=   14.014136  Im=94136.195938
n=41   E_DFT=    4.435330  Re=   13.749912  Im=-96137.005545
n=42   E_DFT=    4.984520  Re=    7.708025  Im=-44925.893897
n=43   E_DFT=    4.984520  Re=    7.883268  Im=44288.134104
n=44   E_DFT=    6.011775  Re=   12.266168  Im=133949.403242
n=45   E_DFT=    6.011775  Re=   12.325353  Im=-135116.113044
n=46   E_DFT=    8.328524  Re=   31.094893  Im= 1724.253713
n=47   E_DFT=    8.328524  Re=   31.181171  Im=-1523.713764
n=48   E_DFT=    9.001866  Re=   28.649587  Im= 6516.945689
n=49   E_DFT=    9.001866  Re=   28.453134  Im=-5498.078833
n=50   E_DFT=   10.392904  Re=   23.178111  Im=-35618.294684
n=51   E_DFT=   10.392904  Re=   23.047119  Im=34931.695719
n=52   E_DFT=   10.404016  Re=   17.826836  Im=96290.465247
n=53   E_DFT=   10.404016  Re=   17.447925  Im=-96090.446177
n=54   E_DFT=   11.851113  Re=   42.413099  Im=44067.563255
