
 frequency_dependence   0

 band_index     1    16
 sigma_matrix     0   0

 finite_difference_form  -2

 symmetries
 ntran  =  1
 mtrx01 =  1  0  0  0  1  0  0  0  1
 
       k =  0.000000  0.000000  0.000000 ik =   1 spin = 1

   n            Emf             Eo              X           SX-X             CH            Sig            KIH           Eqp0           Eqp1            CH`           Sig`          Eqp0`          Eqp1`            Znk
  16   16.360897211   16.360897211   -3.769921622    1.892342383   -9.544822487  -11.422401727   27.465362154   16.042960427   16.042960427   -7.749843724   -9.627422963   17.837939190   17.837939190    1.000000000
 
       k =  0.500000  0.500000  0.000000 ik =   7 spin = 1

   n            Emf             Eo              X           SX-X             CH            Sig            KIH           Eqp0           Eqp1            CH`           Sig`          Eqp0`          Eqp1`            Znk
   1   -1.549907257   -1.549907257  -15.235200029   11.159734995   -9.579649870  -13.655114904    9.700171771   -3.954943133   -3.954943133   -8.900812964  -12.976277998   -3.276106227   -3.276106227    1.000000000
   2   -1.549907257   -1.549907257  -15.235200029   11.159734995   -9.579649870  -13.655114904    9.700171771   -3.954943133   -3.954943133   -8.900812964  -12.976277998   -3.276106227   -3.276106227    1.000000000
   3   -1.549907257   -1.549907257  -15.235200029   11.159734995   -9.579649870  -13.655114904    9.700171771   -3.954943133   -3.954943133   -8.900812964  -12.976277998   -3.276106227   -3.276106227    1.000000000
   4   -1.549907257   -1.549907257  -15.235200029   11.159734995   -9.579649870  -13.655114904    9.700171771   -3.954943133   -3.954943133   -8.900812964  -12.976277998   -3.276106227   -3.276106227    1.000000000
   5    3.412332482    3.412332482  -13.262303122    9.594572798   -9.339772012  -13.007502337   14.297996443    1.290494106    1.290494106   -8.426673113  -12.094403437    2.203593006    2.203593006    1.000000000
   6    3.412332482    3.412332482  -13.262303122    9.594572798   -9.339772012  -13.007502337   14.297996443    1.290494106    1.290494106   -8.426673113  -12.094403437    2.203593006    2.203593006    1.000000000
   7    3.412332482    3.412332482  -13.262303122    9.594572798   -9.339772012  -13.007502337   14.297996443    1.290494106    1.290494106   -8.426673113  -12.094403437    2.203593006    2.203593006    1.000000000
   8    3.412332482    3.412332482  -13.262303122    9.594572798   -9.339772012  -13.007502337   14.297996443    1.290494106    1.290494106   -8.426673113  -12.094403437    2.203593006    2.203593006    1.000000000
   9    6.968806361    6.968806361   -4.201194557    2.431643838   -8.241518641  -10.011069361   16.146090671    6.135021310    6.135021310   -7.370477763   -9.140028483    7.006062188    7.006062188    1.000000000
  10    6.968806361    6.968806361   -4.201194557    2.431643838   -8.241518641  -10.011069361   16.146090671    6.135021310    6.135021310   -7.370477763   -9.140028483    7.006062188    7.006062188    1.000000000
  11    6.968806361    6.968806361   -4.201194557    2.431643838   -8.241518641  -10.011069361   16.146090671    6.135021310    6.135021310   -7.370477763   -9.140028483    7.006062188    7.006062188    1.000000000
  12    6.968806361    6.968806361   -4.201194557    2.431643838   -8.241518641  -10.011069361   16.146090671    6.135021310    6.135021310   -7.370477763   -9.140028483    7.006062188    7.006062188    1.000000000
  13   16.360897211   16.360897211   -3.769921622    1.892340575   -9.544839609  -11.422420655   27.465362154   16.042941498   16.042941498   -7.749880616   -9.627461663   17.837900491   17.837900491    1.000000000
  14   16.360897211   16.360897211   -3.769921622    1.892340575   -9.544839609  -11.422420655   27.465362154   16.042941498   16.042941498   -7.749880616   -9.627461663   17.837900491   17.837900491    1.000000000
  15   16.360897211   16.360897211   -3.769921622    1.892340575   -9.544839609  -11.422420655   27.465362154   16.042941498   16.042941498   -7.749880616   -9.627461663   17.837900491   17.837900491    1.000000000
  16   16.360897211   16.360897211   -3.769921622    1.892340575   -9.544839609  -11.422420655   27.465362154   16.042941498   16.042941498   -7.749880616   -9.627461663   17.837900491   17.837900491    1.000000000
 
       k =  0.500000  0.500000  0.500000 ik =   8 spin = 1

